PERIOD;INDICATOR;DIMENSION;VALUE
2000-04-01/2000-10-01;30106_ind01;30106_dim08;22.31113956
2000-10-01/2001-04-01;30106_ind01;30106_dim08;27.2593801
2001-04-01/2001-10-01;30106_ind01;30106_dim08;29.20973658
2001-10-01/2002-04-01;30106_ind01;30106_dim08;32.64790157
2002-04-01/2002-10-01;30106_ind01;30106_dim08;34.97391304
2002-10-01/2003-04-01;30106_ind01;30106_dim08;36.27840458
2003-04-01/2003-10-01;30106_ind01;30106_dim08;39.5
2003-10-01/2004-04-01;30106_ind01;30106_dim08;41.1
2004-04-01/2004-10-01;30106_ind01;30106_dim08;45.7
2004-10-01/2005-04-01;30106_ind01;30106_dim08;47.2
2005-04-01/2005-10-01;30106_ind01;30106_dim08;48.9
2005-10-01/2006-04-01;30106_ind01;30106_dim08;52.2
2006-04-01/2006-10-01;30106_ind01;30106_dim08;55.7
2006-10-01/2007-04-01;30106_ind01;30106_dim08;57.4
2007-04-01/2007-10-01;30106_ind01;30106_dim08;59.7
2007-10-01/2008-04-01;30106_ind01;30106_dim08;60.7
2008-04-01/2008-10-01;30106_ind01;30106_dim08;63.5
